Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
Compton Verney House Charity,NPO,,150000,152760,152760,Museums,Midlands,West Midlands,Kenilworth and Southam,Stratford-on-Avon,Non-LUCP,Non-Priority place,
Contains Art CIO,NPO,,0,0,248000,Combined arts,South West,South West,Bridgwater and West Somerset,Somerset West and Taunton,Non-LUCP,Non-Priority place,
Contemporary Art Society,NPO,,168324,171421,171421,Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Contemporary Dance Trust,NPO,,1793985,1826994,1826994,Dance,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Continental Drifts,NPO,,119996,122204,122100,Music,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,
Corali,NPO,,100000,101840,123340,Dance,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,
Corby Cube Theatre Trust,NPO,,140812,143403,173403,Combined arts,Midlands,East Midlands,Corby,North Northamptonshire,LUCP,Non-Priority place,
Corn Exchange (Newbury) Trust,NPO,,235000,239324,396690,Combined arts,South East,South East,Newbury,West Berkshire,Non-LUCP,Non-Priority place,
Cosmopolitan Arts,NPO,,0,0,200000,Combined arts,Midlands,East Midlands,Harborough,Oadby and Wigston,LUCP,Non-Priority place,
Counterpoints Arts,NPO,,80000,81472,106472,Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Crafts Council,NPO,,2503853,2549924,2222889,Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Craftspace,NPO,,211553,215446,215446,Visual arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
Create Define Release CIC,NPO,,0,0,272500,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Create Gloucestershire,IPSO,,70756,72058,72058,Not discipline specific,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,
Create London,NPO,,150000,152760,152760,Visual arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
Create Studios Digital Media CIC,NPO,,95000,96748,185684,Visual arts,South West,South West,South Swindon,Swindon,LUCP,Priority place,
Creative Arts East,NPO,,150000,152760,204760,Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,
Creative Folkestone,NPO,,400000,407360,407360,Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,
Creative Future Ltd,NPO,,0,0,120000,Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Creative Kernow Ltd,NPO,,212675,216588,216588,Not discipline specific,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,
Creative Lives Charity Limited,IPSO,,165827,168878,168878,Not discipline specific,Midlands,Wales,Cardiff South and Penarth,Cardiff,Non-LUCP,Non-Priority place,
Crescent Arts,NPO,,69789,71073,71073,Visual arts,North,Yorkshire and The Humber,Scarborough and Whitby,Scarborough,Non-LUCP,Non-Priority place,
Crying Out Loud,NPO,,211217,215103,307488,Theatre,South West,South East,Portsmouth South,Portsmouth,LUCP,Priority place,
CT20 Projects CIC,NPO,,0,0,125000,Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,
Cubitt Artists Limited,NPO,,112095,114158,114156,Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Cultural Co-operation,IPSO (Transfer),,0,0,229677,Not discipline specific,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Culturapedia,NPO,,0,0,52072,Combined arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,
Culture Central,IPSO,,0,0,275000,Not discipline specific,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
Culture Coventry,NPO,,400000,407360,407360,Museums,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
Culture Squared CIC,NPO,,300000,305520,1055520,Literature,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
"Culture, Health & Wellbeing Alliance CIC",IPSO,,0,96748,216579,Not discipline specific,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
"Culture, Learning and Libraries (Midlands) - Library Service",NPO,,249999,254599,504599,Libraries,Midlands,East Midlands,Nottingham North,Nottingham,Non-LUCP,Non-Priority place,
CultureMix Arts Ltd,NPO,,90000,91656,166656,Music,South East,South East,Reading West,Reading,Non-LUCP,Non-Priority place,
Cumbria Theatre Trust,NPO,,604067,615182,615182,Theatre,North,North West,Copeland,Allerdale,Non-LUCP,Non-Priority place,
Curious Minds,NPO,,1335323,1359893,800000,Not discipline specific,North,North West,Wigan,Wigan,LUCP,Priority place,
DaDaFest,NPO,,193052,196604,246104,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Daily Life Ltd,NPO,,88510,90139,112840,Combined arts,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,
Dance City,NPO,,553857,564048,564048,Dance,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Dance Consortium,NPO,,489367,498371,450000,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Dance Umbrella,NPO,,352028,358505,358505,Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Dance United Yorkshire,NPO,,90000,91656,91656,Dance,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,
DanceEast,NPO,,810153,825060,825060,Dance,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
Dancefest,NPO,,85493,87066,87066,Dance,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,
DanceSyndrome,NPO,,0,0,100000,Dance,North,North West,Hyndburn,Hyndburn,LUCP,Non-Priority place,
Darbar Arts Culture Heritage Trust,NPO,,245000,249508,582512,Music,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
darts (Doncaster Community Arts),NPO,,130881,133289,133289,Combined arts,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,
De La Warr Pavilion,NPO,,508430,517785,517785,Combined arts,South East,South East,Bexhill and Battle,Rother,Non-LUCP,Non-Priority place,
Deaf Explorer CIC,IPSO,,0,0,250000,Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
Deafinitely Theatre,NPO,,212110,216013,265083,Theatre,London,London,Brent North,Brent,Non-LUCP,Priority place,
Déda,NPO,,343374,349692,349692,Dance,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Dedalus Limited,NPO (Transfer),,40000,40736,50000,Literature,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,
Deptford X Ltd.,NPO,,0,0,97000,Visual arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Derby Museums,NPO,,392870,400099,550099,Museums,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Derby QUAD Ltd,NPO,,457753,466176,466176,Combined arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Design Museum,NPO,,170000,173128,173128,Visual arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,
Devonshire Collective,NPO,,0,0,70000,Visual arts,South East,South East,Eastbourne,Eastbourne,LUCP,Non-Priority place,
Disability Arts in Shropshire,NPO,,120000,122208,216208,Visual arts,Midlands,West Midlands,Shrewsbury and Atcham,Shropshire,Non-LUCP,Non-Priority place,
Disability Arts Online,NPO,,100000,101840,146492,Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Diverse City,NPO,,480000,488832,536476,Combined arts,South West,South West,South Dorset,Dorset,Non-LUCP,Non-Priority place,
DIY Theatre Community Interest Company,NPO,,0,0,99000,Theatre,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,
Doncaster Heritage Services,NPO,,100000,101840,101840,Museums,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,
Doorstep Arts,NPO,,95561,97319,97319,Theatre,South West,South West,Torbay,Torbay,LUCP,Non-Priority place,
Drake Music,NPO,,194045,197615,224565,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Drawing Room,NPO,,50289,51214,51214,Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Duckie,NPO,,142492,145114,145114,Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Durham County Council,NPO,,415000,422636,532636,Combined arts,North,North East,City of Durham,County Durham,LUCP,Priority place,
East London Dance,NPO,,241391,245833,245833,Dance,London,London,West Ham,Newham,Non-LUCP,Priority place,
East Lindsey District Council,NPO,,0,0,651933,Combined arts,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,
East Midlands Jazz CIC,NPO,,77446,78871,78871,Music,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales,Non-LUCP,Non-Priority place,
East Riding Libraries,NPO,,0,0,165000,Libraries,North,Yorkshire and The Humber,Beverley and Holderness,East Riding of Yorkshire,LUCP,Non-Priority place,
East Street Arts,NPO,,334960,341123,341123,Visual arts,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Eastern Angles Theatre Company Ltd,NPO,,220402,224457,224457,Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
Eastside Educational Trust,NPO,,50788,51722,51722,Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Eclipse Theatre Company Ltd,NPO,,249501,254092,563474,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Eden Arts,NPO,,100000,101840,101840,Combined arts,North,North West,Penrith and The Border,Eden,Non-LUCP,Non-Priority place,
EGO Performance Company Ltd,NPO,,0,0,380000,Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
emccan CIC,NPO,,150725,153498,234998,Combined arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Emergency Exit Arts,NPO,,117924,120094,120094,Combined arts,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
English Folk Dance and Song Society,NPO,Yes,432046,439996,300000,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
English Folk Expo,NPO,,95000,96748,96748,Music,North,North West,Rochdale,Rochdale,LUCP,Priority place,
English National Ballet,NPO,,6214000,6328338,6011921,Dance,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,
English PEN,NPO,,229984,234216,234216,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
English Stage Company Limited,NPO,,2311234,2353761,2236073,Theatre,London,London,Chelsea and Fulham,Kensington and Chelsea,Non-LUCP,Non-Priority place,
English Touring Opera Ltd,NPO (Transfer),,1743322,1775399,2130478,Music,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
English Touring Theatre Ltd,NPO,,679794,692302,692302,Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Entelechy Arts Ltd,NPO,,80348,81826,133226,Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Essex Cultural Diversity Project,NPO,,150000,152760,222760,Combined arts,South East,East of England,Chelmsford,Chelmsford,Non-LUCP,Non-Priority place,
Ex Cathedra Ltd,NPO,,57681,58742,117484,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Exeter City Council,NPO,,607191,618363,618363,Museums,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,
Exeter City of Literature,NPO,,0,0,150000,Literature,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,
Exeter Northcott Theatre,NPO,,125000,127300,127300,Combined arts,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,
Exeter Phoenix,NPO,,125725,128038,128038,Combined arts,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,
Explore York Libraries and Archives Mutual Limited,NPO,,0,0,220000,Libraries,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,
Extant,NPO,,156000,158870,168870,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Eye Music Trust,NPO,,102205,104086,104086,Music,London,London,Croydon South,Croydon,Non-LUCP,Priority place,
FABRIC,NPO,,1351140,1376001,1376001,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
FACT,NPO,,1005909,1024418,1024418,Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Family Arts Campaign Ltd,IPSO,,0,0,175000,Not discipline specific,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,
Farnham Maltings Association,NPO,,845780,861342,861342,Combined arts,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,
Festival of Making CIC,NPO,,0,0,250000,Combined arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,
Festival of Thrift,NPO,,0,0,245000,Combined arts,North,North East,Redcar,Redcar and Cleveland,LUCP,Priority place,
Fevered Sleep,NPO,,201160,204861,204861,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
FIERCE! Festival,NPO,,130612,133015,133015,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Film and Video Umbrella,NPO (Transfer),,379321,386301,386301,Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Film London,NPO,,321904,327827,327827,Visual arts,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,
First Light Festival CIC,NPO,,0,0,220000,Combined arts,South East,East of England,Waveney,East Suffolk,Non-LUCP,Non-Priority place,
Firstsite Ltd,NPO,,814527,829514,829515,Visual arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,
Flatpack Projects,NPO,,110000,112024,112024,Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Focal Point Gallery,NPO,,186384,189813,219127,Visual arts,South East,East of England,Rochford and Southend East,Southend-on-Sea,Non-LUCP,Non-Priority place,
Forced Entertainment Ltd,NPO,,249500,254091,254091,Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Forma Arts and Media Limited,NPO,,259677,264455,264455,Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Forward Arts Foundation,NPO,,47914,48796,50000,Literature,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Foundation for Community Dance t/a People Dancing,NPO,,190095,193593,193593,Dance,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Frantic Theatre Company Ltd,NPO,,221189,225259,225259,Theatre,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,
Freedom Festival Arts Trust,NPO,,249999,254599,254599,Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Freewheelers Theatre and Media Ltd,NPO,,0,0,90000,Theatre,South East,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,
Fresh Arts C.I.C,NPO,,0,0,100000,Combined arts,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,
Friction Arts,NPO,,67500,68742,68742,Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
FRONTLINEdance,NPO,,0,0,200000,Dance,Midlands,West Midlands,Stone,Stafford,Non-LUCP,Non-Priority place,
Frozen Light,NPO,,0,0,335000,Theatre,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,
Fuel Productions,NPO,,201160,204861,204861,Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Full House Theatre,NPO,,0,0,219000,Theatre,South East,East of England,Mid Bedfordshire,Central Bedfordshire,Non-LUCP,Non-Priority place,
Furtherfield.org,NPO (Transfer),,78388,79830,79830,Visual arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,
Future Arts Centres,IPSO,,0,0,160000,Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,
Future Foundry,NPO,,0,0,175000,Visual arts,South East,South East,Dover,Dover,LUCP,Priority place,
Future Yard CIC,NPO,,0,0,150000,Music,North,North West,Wallasey,Wirral,LUCP,Non-Priority place,
Gary Clarke Company Ltd,NPO,,0,0,350000,Dance,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
Gazebo,NPO,,0,0,200000,Theatre,Midlands,West Midlands,Wolverhampton South East,Wolverhampton,LUCP,Priority place,
Gecko Theatre,NPO,,220402,224457,224457,Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
Geese Theatre Company Ltd,NPO,,40232,40972,85000,Theatre,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
GEM - Group for Education in Museums,IPSO,,0,0,170000,Museums,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
Gem Arts,NPO,,120000,122208,202208,Combined arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,
Generator North East,NPO,,156051,158922,158922,Music,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
George Padmore Institute,NPO,,0,0,73000,Literature,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,
Global Grooves,NPO,,125000,127300,236300,Combined arts,North,North West,Stalybridge and Hyde,Tameside,LUCP,Non-Priority place,
Gloucester Culture Trust,NPO,,0,0,150000,Not discipline specific,South West,South West,Gloucester,Gloucester,LUCP,Priority place,
Gloucester Guildhall,NPO,,0,0,250000,Combined arts,South West,South West,Gloucester,Gloucester,LUCP,Priority place,
Gloucestershire Everyman Theatre Ltd,NPO,,377547,384494,384494,Theatre,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,
Gloucestershire Libraries & Information,NPO,,0,0,250000,Libraries,South West,South West,Gloucester,Gloucester,LUCP,Priority place,
Glyndebourne Productions Ltd,NPO,,1629055,1659030,800000,Music,South East,South East,Lewes,Lewes,Non-LUCP,Non-Priority place,
Godiva Awakes Trust,NPO,,0,0,300000,Combined arts,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,
Goole Town Council,NPO,,68995,70265,79345,Combined arts,North,Yorkshire and The Humber,Brigg and Goole,East Riding of Yorkshire,LUCP,Non-Priority place,
Gorilla Circus,NPO,,0,0,200000,Theatre,South East,East of England,North East Cambridgeshire,Fenland,LUCP,Priority place,
Graeae Theatre Company Ltd,NPO,,564399,574784,769104,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Grand Union Arts CIO,NPO,,98000,99803,99803,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Great Georges Community Cultural Project Ltd,NPO,,110000,112024,194691,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Greater Manchester Arts Centre Ltd,NPO,,1297513,1321387,1321387,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Greenwich+Docklands Festivals,NPO,,249500,254091,254091,Combined arts,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,
Grimm & Co,NPO,,115000,117116,247116,Literature,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,
Grizedale Arts,NPO,,197696,201334,201334,Visual arts,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,
Grundy Art Gallery,NPO,,43122,43915,83000,Visual arts,North,North West,Blackpool North and Cleveleys,Blackpool,LUCP,Priority place,
Gunnersbury Park Museum,NPO,,0,0,129500,Museums,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,
hÅb,NPO,,70406,71701,71701,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Hackney Empire Ltd,NPO,,368514,375295,375295,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Half Moon Young People's Theatre,NPO,,217451,221452,221452,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Halle Concerts Society,NPO,,2083674,2122014,2122014,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Hampshire Cultural Trust,NPO,,0,0,500000,Combined arts,South West,South East,Winchester,Winchester,Non-LUCP,Non-Priority place,
Hastings Contemporary,NPO,,100000,101840,101840,Visual arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,
Hastings Museum and Art Gallery,NPO,,0,0,150000,Museums,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,
Havering Theatre Trust,NPO,,277032,282129,482129,Theatre,London,London,Hornchurch and Upminster,Havering,Non-LUCP,Non-Priority place,
Headlong Theatre Ltd,NPO (Transfer),,679794,692302,692302,Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Heads Together Productions Limited,NPO,,46605,47463,50000,Combined arts,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,
Headway Arts,NPO,,0,0,96000,Combined arts,North,North East,Blyth Valley,Northumberland,LUCP,Non-Priority place,
Heart n Soul,NPO,,299395,304904,304904,Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Heart of Glass,NPO,,350000,356440,356440,Combined arts,North,North West,St Helens South and Whiston,St. Helens,LUCP,Non-Priority place,
Helix Arts Ltd,NPO,,108342,110335,195335,Combined arts,North,North East,North Tyneside,North Tyneside,LUCP,Non-Priority place,
Heritage and Culture - NSDC,NPO,,0,0,309000,Not discipline specific,Midlands,East Midlands,Newark,Newark and Sherwood,LUCP,Non-Priority place,
High Rise Entertainment CIC,NPO,,0,0,150000,Theatre,London,London,Finchley and Golders Green,Barnet,Non-LUCP,Non-Priority place,
Highlights Productions,NPO,,119800,122004,175734,Combined arts,North,North West,Penrith and The Border,Eden,Non-LUCP,Non-Priority place,
HighTide Festival Productions LTD,NPO,,191654,195180,195180,Theatre,South East,East of England,Suffolk Coastal,East Suffolk,Non-LUCP,Non-Priority place,
Hofesh Shechter Company,NPO,,383307,390360,390360,Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Home Live Art,NPO,,75435,76823,76823,Combined arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,
Homotopia Limited,NPO,,100000,101840,101840,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Hoot Creative Arts,NPO,,40166,40905,110000,Combined arts,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,
Hospital Rooms,NPO,,0,0,120000,Visual arts,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,
Hounslow Arts Trust Ltd,NPO,,120696,122917,122917,Combined arts,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,
Huddersfield Contemporary Music Festival,NPO,,241627,246073,286073,Music,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,
Hull City Council,NPO,,996409,1014743,1112243,Museums,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Hull Culture and Leisure Library Services,NPO,,0,0,75000,Libraries,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Hull Truck Theatre,NPO,,790680,805229,805229,Theatre,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
Humanhood,NPO,,0,0,250000,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Icon Theatre,NPO,,0,0,263000,Theatre,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
idle women,NPO,,0,0,114000,Combined arts,North,North West,Hyndburn,Hyndburn,LUCP,Non-Priority place,
Ikon Gallery,NPO,,1009728,1028307,902621,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Word Up North Ltd,NPO,,137424,139953,139953,Literature,North,Yorkshire and The Humber,Keighley,Bradford,Non-LUCP,Non-Priority place,
ILUVLIVE,NPO,,103856,105767,105767,Music,London,London,Streatham,Lambeth,Non-LUCP,Non-Priority place,
imitating the dog,NPO,,188000,191459,191459,Theatre,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,
Impact Dance Foundation,NPO,,0,0,289900,Dance,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Impressions Gallery of Photography Limited,NPO,,202281,206003,206003,Visual arts,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
Improbable,NPO (Transfer),,216533,220517,220517,Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Index on Censorship,IPSO,,43122,43915,50000,Literature,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Inner City Music Ltd,NPO,,180000,183312,183312,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Inpress Ltd,IPSO,,158489,161405,161405,Literature,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
In-Situ,NPO,,139000,141558,141558,Visual arts,North,North West,Pendle,Pendle,LUCP,Non-Priority place,
Inspirate,NPO,,0,0,250000,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Institute of Contemporary Arts,NPO,,862441,878310,678310,Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Institute Of Cultural & Creative Industries,NPO,,273769,278806,278806,Combined arts,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,
Institute of International Visual Arts,NPO,,228344,232546,263685,Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
International Curators Forum,NPO,,150000,152760,152760,Visual arts,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,
Interplay Theatre Trust,NPO,,151017,153796,153796,Theatre,North,Yorkshire and The Humber,Leeds West,Leeds,Non-LUCP,Non-Priority place,
Intoart,NPO,,120298,122511,205156,Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
intoBodmin CIC,NPO,,0,0,80000,Combined arts,South West,South West,North Cornwall,Cornwall,Non-LUCP,Non-Priority place,
Invisible Flock Co,NPO,,195000,198588,198588,Combined arts,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,
