"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1044378","0","WESTERHOPE AND DISTRICT COMMUNITY ASSOCIATION","Hillhead Road, Westerhope, Newcastle upon Tyne","NE5 1NE","Newcastle upon Tyne North","01912673757","westhopecommunity@btconnect.com","www.westerhopecommunityassociation.co.uk","31/03/2024","91079","67249","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Amateur Sport, Recreation","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Dance,
Zumba,
Craft, 
Bowling Club - Men and Women,
Badminton,
Snooker,
Exercise,
Women Institute,
Football - Junior, 
Resident Meetings,
Ward Committee,
Social Activities,
Meeting Rooms for public, local authority and others,
Play facilities for Young People
Area of benefit Newcastle upon Tyne","1. TO PROMOTE THE BENEFIT OF THE INHABITANTS OF THE AREA OF BENEFIT BY ASSOCIATING THE LOCAL AUTHORITY VOLUNTARY ORGANISATIONS AND INHABITANTS TO ADVANCE EDUCATION AND LEISURE TIME OCCUPATIONS. 2.  TO ESTABLISH A COMMUNITY CENTRE."
"1046912","0","ARCADEA","Arcadea, 4/5th Floor, Kelburn House, 7-19 Mosley Street, NEWCASTLE UPON TYNE","","","07869713203","info@arcadea.org","www.arcadea.org","31/03/2023","320934","308265","Registered","Other","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Disability, Arts/culture/heritage/science, Recreation","Children/young People, People With Disabilities","ARCADEA is an arts development service which is staffed and managed by disabled people. It exists to advance education in the arts, and to promote the cultural and artistic equality of disabled people.","TO RELIEVE DISABLED PERSONS WITHIN THE NORTHERN REGION (TYNE AND WEAR, CLEVELAND, NORTHUMBERLAND, DURHAM, CUMBRIA) AND TO ADVANCE THEIR EDUCATION IN THE ARTS"
"1047452","0","NORTH EAST CHINESE ASSOCIATION","NORTH EAST CHINESE ASSOCIATION, 25 STOWELL STREET, NEWCASTLE UPON TYNE","NE1 4YB","Newcastle upon Tyne Central","0191 2618583","necancluk@hotmail.co.uk","","31/03/2022","2040","5960","Registered","Other","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Arts/culture/heritage/science","Children/young People, Elderly/old People, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","-Culture training & events - Teach Mandarin, interpretation services for authorities such as police, MSPCC, Age Concern - help to promote community & Chinatown. - Provide advocacy/ advice/ information to those whose english is not their first language/ elderly/ old people children/ young people.","1.  TO PROMOTE THE EDUCATION OF PEOPLE IN THE PRINCIPLES AND PRACTICES OF GOOD CITIZENSHIP. 2.  TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES IN THE INTEREST OF SOCIAL WELFARE FOR RECREATION OR OTHER LEISURE TIME OCCUPATION. 3.  TO PROMOTE THE PRESERVATION AND PROTECTION OF GOOD HEALTH. 4.  TO PROMOTE THE EDUCATION OF THE PUBLIC IN THE CHINESE LANGUAGE AND CULTURE. 5.  TO WORK TOWARDS THE ELIMINATION OF RACIAL DISRIMINATION. 6.  OTHER CHARITABLE PURPOSES."
"1047764","0","THE FRIENDS OF LEAZES PARK","9 Leazes Crescent, NEWCASTLE UPON TYNE","NE1 4LN","Newcastle upon Tyne Central","01912411800","friendsofleazespark@hotmail.co.uk","https://www.friendsofleazespark.uk","01/01/2023","1976","2796","Registered","Other","Provides Services, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Other Defined Groups, The General Public/mankind","To protect promote and develop Leazes Park
To research and record the history,environment and scientific elements of the park
To encourage the local community to be involved in the area
To participate in the maintenance and improvement of the park","THE EDUCATION OF THE PUBLIC BY THE PROMOTION,SUPPORT,ASSISTANCE AND  IMPROVEMENT OF THE REGISTERED HISTORIC PARK KNOWN AS LEAZES PARK AND TO ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION."
"1048725","0","GRANGE FIRST SCHOOL PARENTS TEACHERS AND FRIENDS ASSOCIATION","GRANGE FIRST SCHOOL, NORHAM ROAD, NEWCASTLE UPON TYNE","NE3 2NP","Newcastle upon Tyne North","01912852954","grangefirstparents@outlook.com","","31/08/2023","4575","4094","Registered","Other","Makes Grants To Organisations","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Recreation","Children/young People, The General Public/mankind","A charity run by the parents, teachers and friends of Grange First School for the purpose of raising additional funds for the school.   We aim to provide resources, educational opportunities and extra curriculum activities enriching the lives of the children and community of Grange First School.","TO ADVANCE THE EDUCATION OF THE PUPILS IN THE SCHOOL"
"1049106","0","THE NORTHUMBERLAND FEDERATION OF WOMEN'S INSTITUTES","Northumberland Federation Of WI's, Cresswell House, 11-12 Brenkley Way, Seaton Burn, NEWCASTLE UPON TYNE","NE13 6DS","North Tyneside","0191 217 0808","federationoffice@northumberlandwi.co.uk","https://northumberlandwi.org.uk/","31/03/2023","62738","76119","Registered","Charitable company","Provides Human Resources, Provides Services","Education/training, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage","The General Public/mankind","THE ORGANISATION IS INVOLVED IN EDUCATION, PUBLIC/CURRENT AFFAIRS, HEALTH AND WELLBEING, TRAINING OF ALL WOMEN IN THE COUNTY OF NORTHUMBERLAND.","TO ENABLE WOMEN TO TAKE AN EFFECTIVE PART IN RURAL LIFE AND DEVELOPMENT."
"1049907","0","THE SHEARS FOUNDATION","C/O The Community Foundation, Philanthropy House, Woodbine Road, Gosforth, Newcastle upon Tyne","NE3 1DD","Newcastle upon Tyne Central","07544380316","bruce@shearsfoundation.org","www.shearsfoundation.org","30/06/2023","854842","1267226","Registered","Trust","Makes Grants To Organisations, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Funding selected organisations and projects in community development, environmental, sustainable development, health & welfare and culture all with an emphasis on education and raising awareness and generally, but not exclusively, in or for the benefit of the north east of England","GENERAL CHARITABLE PURPOSES"
"1053036","0","ROTARY CLUB OF GOSFORTH","54, Clayworth Rd, Gosforth, Newcastle upon Tyne, Newcastle upon Tyne, Tyne & Wear","NE3 5AD","Newcastle upon Tyne North","01912363681","","","30/06/2023","1726","1454","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Overseas Aid/famine Relief, Arts/culture/heritage/science","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Payments to local and international charities and to Rotary Foundation charity.","THE RELIEF OF THE POOR AND NEEDY OR SUCH OTHER CHARITABLE PURPOSES"
"1056924","0","THE REG VARDY BAND","2 ALSTON WAY, MEADOWFIELD, DURHAM","DH7 8XF","City of Durham","07946761108","colindye50@gmail.com","www.everreadyband.co.uk","31/03/2023","14486","29067","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science","The General Public/mankind","Active senior section brass band representing the Northern Area at National and International events","TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE ART OF BRASS BAND MUSIC MAKING AND TO FURTHER THE DEVELOPMENT OF PUBLIC APPRECIATION IN THE SAID ART BY THE  PRESENTATION OF CONCERTS, MUSIC FESTIVALS, AND SIMILAR ACTIVITIES AND TO ENCOURAGE THE MUSICAL EDUCATION OF YOUNG PLAYERS BY THE PROVISION OF TUITION AND TRAINING FACILITIES"
"1058360","0","STREETWISE YOUNG PEOPLE'S PROJECT","UNIT 3 BLACKFRIARS COURT, DISPENSARY LANE, NEWCASTLE UPON TYNE","NE1 4XB","Newcastle upon Tyne Central","01912305533","admin@streetwisenorth.org.uk","www.streetwisenorth.org.uk","31/03/2023","1127803","1119502","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science","Children/young People","To provide free and confidential information, advice, counselling and support services for young people, between the ages of 11 and 25.","1A)TO PRESERVE AND PROVIDE FOR THE PHYSICAL AND MENTAL HEALTH OF YOUNG PEOPLE AGED 11-25 YEARS BY PROVIDING ADVICE, INFORMATION AND SUPPORT, WITHOUT DISTINCTION OF SEX, SEXUALITY, DISABILITY, RACE OR POLITICAL, RELIGIOUS OR OTHER OPINIONS, IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE; B)TO MAINTAIN AND MANAGE,OR TO CO-OPERATE WITH ANY LOCAL STATUTORY AUTHORITY IN THE MAINTENANCE AND MANAGEMENT OF A CENTRE FOR ACTIVITIES PROMOTED BY A COMPANY IN FURTHERANCE OF THE ABOVE OBJECTS"
"1059729","0","NORTH TYNESIDE STEELBAND","23 CHILTERN ROAD, NORTH SHIELDS","NE29 9QG","Tynemouth","01912592051","info@northtynesidesteelband.org.uk","www.northtynesidesteelband.org.uk","31/08/2023","23355","16782","Registered","Other","Provides Services, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","NTSB provides tuition and rehearsal facilities for steel pan and gives performances.","THE ADVANCEMENT OF EDUCATION OF THE PUBLIC BY THE ENCOURAGEMENT
OF THE ARTS WITH PARTICULAR REFERENCE TO CARIBBEAN MUSIC AND THE
TEACHING, PRACTICE, PROMOTION AND PRESENTATION OF CONCERTS AND OTHER
ACTIVITIES OF A CHARITABLE NATURE WHICH WILL MAKE SUCH ARTS BETTER KNOWN
AND UNDERSTOOD"
"1068013","0","ASIAN ARTISTS NETWORK (AAN)","7 Queens Court, Gosforth, NEWCASTLE UPON TYNE","NE3 5NQ","Newcastle upon Tyne North","07946466290","asianartistsnetworkuk@gmail.com","","31/08/2023","4658","2922","Registered","Other","Provides Services, Other Charitable Activities","Arts/culture/heritage/science","The General Public/mankind","Education and promotion of South-Asian art and culture","TO ADVANCE THE EDUCATION OF THE PUBLIC IN PARTICULAR THOSE PERSONS OF ETHNIC MINORITY GROUPS IN ALL ASPECTS OF INDIAN CLASSICAL MUSIC."
"1069055","0","TETE A TETE PRODUCTIONS LIMITED","Krowji, West Park, Redruth, Cornwall","TR15 3GE","Camborne and Redruth","01209 313200","info@tete-a-tete.org.uk","www.tete-a-tete.org.uk","30/09/2022","131532","141098","Registered","Charitable company","Other Charitable Activities","Arts/culture/heritage/science","Other Defined Groups","Opera Company","THE COMPANY IS ESTABLISHED TO PROMOTE, MAINTAIN, IMPROVE, AND ADVANCE EDUCATION BY THE ENCOURAGEMENT OF THE ARTS, INCLUDING THE ARTS OF DRAMA, MIME, DANCE, SINGING AND MUSIC, AND ALL OTHER ARTS RELATING TO THE PERFORMANCE AND PRESENTATION THEREOF AND TO FORMULATE, PREPARE AND ESTABLISH SCHEMES THEREFOR PROVIDED THAT ALL OBJECTS OF THE COMPANY SHALL BE OF A CHARITABLE NATURE."
"1071527","0","SUNDERLAND ASTRONOMICAL SOCIETY","WWT Washington Wetland Centre, WASHINGTON, Tyne And Wear","NE38 8LE","Washington and Sunderland West","01914221399","chairman@sunderlandastro.com","www.sunderlandastro.com","31/08/2023","5932","6731","Registered","Other","Provides Human Resources, Sponsors Or Undertakes Research","Education/training, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","Sunderland AS is run by volunteers who promote the science of astronomy to the people of North East England. We host group visits to our observatory at Washington Wildfowl & Wetlands Trust as well as holding regular open evenings for the general public.","TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE SCIENCE OF ASTRONOMY AND RELATED SUBJECTSTO PRESERVE ALL ASTRONOMICALLY RELATED HISTORICAL MATERIAL LINKED WITH THE CITY OF SUNDERLAND AND OF OBSERVERS RESIDENT THEREIN"
"1072960","0","NEWCASTLE UPON TYNE CHAMBER MUSIC SOCIETY LIMITED","20 PARK AVENUE, NORTH SHIELDS","NE30 2EU","Tynemouth","01912583516","ncmsoc@gmail.com","newcastlechambermusicsoc.org.uk","31/05/2023","35279","29272","Registered","Charitable company","Provides Services","Arts/culture/heritage/science","The General Public/mankind","We present, each year, a series of chamber music concerts given by artists of international reputation.","TO PROMOTE HIGH CLASS CHAMBER MUSIC CONCERTS IN ORDER TO FOSTER THE PUBLIC KNOWLEDGE AND APPRECIATION OF SUCH MUSIC BY MEANS OF PUBLIC PERFORMANCES"
"1076160","0","ST CHARLES R.C. PRIMARY SCHOOL P.T.A","St. Charles RC Primary School PTA, Regent Farm Road, NEWCASTLE UPON TYNE","NE3 3HE","Newcastle upon Tyne Central","0191 285 2553","ptastcharles@gmail.com","http://www.stcharles.newcastle.sch.uk/web/pta_/161704","30/09/2022","502","84","Registered","Other","Makes Grants To Organisations","Education/training, Religious Activities, Arts/culture/heritage/science","Children/young People","St Charles School PTA actively raises money to support the wellbeing and education of children at St Charles RC Primary school.","TO ADVANCE THE EDUCATION OF THE PUPILS IN THE SCHOOL"
"1076729","0","WATBUS","Wansbeck Workspace, Wansbeck Business Park, Ashington, Northumberland","NE63 8QZ","Wansbeck","01670522999","lynn@watbus.org.uk","www.watbus.org.uk","31/12/2023","812272","727986","Registered","Charitable company","Provides Services, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups","WATBus has been established since 1998 and continues to provide minibus transport to community groups & individuals within Northumberland and throughout the North East of England.  WATBike, our other organisation focuses on getting adults back onto bikes for their own health & wellbeing.  Both parts of our charity, WATBus & WATBus work together to benefit people who use our service.","TO PROVIDE RELIEF TO THE INHABITANTS OF WANSBECK AND ITS ENVIRONS WHO HAVE NEED BECAUSE OF AGE, MENTAL OR PHYSICAL DISABILITY OR POVERTY AND IN PARTICULAR BUT NOT SO AS TO LIMIT THE GENERALITY THE FOREGOING:A) TO PROVIDE AND MAINTAIN NON-PROFIT COMMUNITY TRANSPORT SERVICES; ANDB) TO ASSIST THE CHARITABLE WORK OF ORGANISATIONS AND BODIES ENGAGED IN PROMOTING THE RELIEF OF SUCH PERSONS THROUGH THE PROVISION OF APPROPRIATE SERVICES"
"1077785","0","BANGLADESH OVERSEAS LADIES ORGANISATION (BOLO)","4 JUNIPER CLOSE, GOSFORTH, NEWCASTLE","NE3 5PL","Newcastle upon Tyne North","07836368266","sircarz75@gmail.com","Bangladeshoverseasladies.org","31/03/2023","4171","4741","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Arts/culture/heritage/science, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","BOLO's activities include financial support for education and medical purposes to individuals, health awareness and life-long learning events, promoting cultural diversity, supporting other registered charities with education, health and women's issues.","THE RELIEF OF NEED HARDSHIP AND SICKNESS AMONGST WOMEN IN PARTICULAR BANGLADESH WOMEN WITHIN THE UNITED KINGDOM AND ELSEWHERETO PROMOTE OR PROVIDE EDUCATION AND FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION FOR SUCH WOMEN WITH THE OBJECT OF IMPROVING THEIR CONDITIONS OF LIFE"
"1078611","0","WEST END OPERATIC SOCIETY LIMITED","38 Stanhope Road, NEWCASTLE UPON TYNE, South Shields, South Shields, Tyne and Wear","NE33 4BT","South Shields","01914555933","ruth.barber@hotmail.co.uk","www.westendoperaticsociety.com","30/06/2023","94459","66479","Registered","Charitable company","Other Charitable Activities","Arts/culture/heritage/science","The General Public/mankind","To educate the public in the operatic and dramatic arts and to further the development of public appreciation and taste in the said arts and to develop vocal, dance and amateur talent.","TO EDUCATE THE PUBLIC IN THE OPERATIC AND DRAMATIC ARTS AND TO FURTHER THE DEVELOPMENT OF PUBLIC APPRECIATION AND TASTE IN THE SAID ARTS AND TO DEVELOP VOCAL, DANCE AND ACTING AMATEUR TALENT"
"1079160","0","CLUB 106 COMMUNITY PROJECT","86-90 Paul Street, Hoxton, Hackney, LONDON","EC2A 4NE","Hackney South and Shoreditch","02070977106","info@club106.org.uk","www.club106.org.uk","31/03/2023","3000","2980","Registered","Other","Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","EDUCATION OF THOSE SUFFERING FROM FINANCIAL HARDSHIP OR OTHERWISE IN NEED, IN THE LONDON BOROUGH OF HACKNEY, GREATER LONDON AND WORLDWIDE, WITH A VIEW TO PROMOTE THE ADVANCEMENT OF I.T. SKILLS WITH INTERNET TRAINING. WE PROVIDE FACILITIES FOR COMPUTER TRAINING AND DISTANCE LEARNING AND PROVIDE AND ASSIST IN FACILITIES FOR SPORT, RECREATION, LEISURE, MUSIC, FASHION, MODELLING, DRAMA, AND DANCE.","1) TO ADVANCE THE EDUCATION OF THOSE SUFFERING FROM FINANCIAL HARDSHIP OR OTHERWISE IN NEED, IN THE LONDON BOROUGH OF HACKNEY, AND GREATER LONDON, WITH A VIEW TO PROMOTE THE ADVANCEMENT OF I.T. SKILLS WITH INTERNET TRAINING BY PROVIDING FACILITIES FOR COMPUTER TRAINING AND DISTANCE LEARNING2) TO PROVIDE AND ASSIST IN FACILITIES FOR SPORT, RECREATION, AND LEISURE3) TO ADVANCE EDUCATION PARTICULARLY IN THE ARTS OF MUSIC, DRAMA, AND DANCE4) FOR OTHER CHARITABLE PURPOSES AT THE DISCRETION OF HE CHARITY'S COMMITTEE"
"1080046","0","INTERACT STROKE SUPPORT","8 HOLYROOD STREET, LONDON","SE1 2EL","Bermondsey and Old Southwark","02038861028","info@interactstroke.org","www.interactstrokesupport.org","31/08/2023","184008","234054","Registered","Charitable company","Provides Human Resources, Provides Services","The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science","Elderly/old People, People With Disabilities, Other Defined Groups","InterAct Stroke Support takes professional actors into hospitals and stroke clubs to read and interact with stroke survivors. This interaction alleviates boredom, depression and stimulates the brain, thus helping rehabilitation & recovery.Post stroke depression is common and neural stimulation has been shown to help the brain ""adaptively rewire"" finding new routes from A to B.","THE RELIEF OF PEOPLE IN SICKNESS OR DISTRESS BY THE PROVISION OF THE SPOKEN WORD IN A VARIETY OF FORMS WHICH MAY INCLUDE THE PROVISION OF A READING SERVICE"
"1081465","0","DURHAM SINFONIA","4 Caseton Close, WHITLEY BAY, Tyne And Wear","NE25 9PL","Tynemouth","0191 251 5399","rogerjay@blueyonder.co.uk","www.orchestranortheast.org.uk","31/03/2023","34337","24001","Registered","Other","Provides Services","Arts/culture/heritage/science","The General Public/mankind","Provides educational and cultural services via orchestral music.","TO PROMOTE IMPROVE DEVELOP AND MAINTAIN PUBLIC EDUCATION IN AND APPRECIATION OF THE ART AND SCIENCE OF MUSIC IN ALL ITS ASPECTS BY THE PRESENTATION OF PUBLIC ORCHESTRAL CONCERTS AND FOR THE GENERAL PURPOSE OF SUCH CHARITABLE BODIES OR FOR SUCH OTHER PURPOSES AS SHALL BE EXCLUSIVELY CHARITABLE AS THE COMMITTEE MAY FROM TIME TO TIME DECIDE"
"1081725","0","THE SOUTH SHIELDS GILBERT AND SULLIVAN OPERATIC SOCIETY","99 Sydney Court, GATESHEAD","NE8 2EH","Gateshead","07984714932","","www.southshieldsgands.co.uk","31/03/2023","1447","3646","Registered","Other","Other Charitable Activities","Education/training, Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","WE PERFORM AMATEUR PRODUCTIONS AROUND THE SOUTH SHIELDS AREA.","TO EDUCATE THE PUBLIC IN THE DRAMATIC AND OPERATIC ARTS , TO FURTHER THE DEVELOPMENT OF PUBLIC APPRECIATION AND TASTE IN THE SAID ARTS (TO ASSIST AND FURTHER SUCH CHARITABLE INSTITUTIONS AND CHARITABLE PURPOSES AS THE COMMITTEE SHALL FROM TIME TO TIME DETERMINE)"
"1082896","0","KIDS KABIN","10 CHURCH WALK, WALKER, NEWCASTLE UPON TYNE","NE6 3DW","Newcastle upon Tyne East","01912953655","ADMIN@KIDSKABIN.ORG.UK","www.kidskabin.org.uk","30/06/2023","290155","275753","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services","Education/training, Arts/culture/heritage/science","Children/young People","Arts and craft activities for young people.","TO PROMOTE THE EDUCATION OF CHILDREN AND YOUNG PEOPLE;

TO PROMOTE THE PROVISION OF FACILITIES FOR THE RECREATION AND OTHER LEISURE TIME ACTIVITIES OF SUCH CHILDREN AND YOUNG PEOPLE IN THE INTERESTS OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THEIR CONDITIONS OF LIFE"
"1084048","0","PRUDHOE COMMUNITY BAND","WEST HOUSE, HAGG FARM, WYLAM","NE41 8JY","Hexham","01661852187","prudhoecommunityband@gmail.com","www.prudhoecommunityband.co.uk","31/08/2023","8973","7529","Registered","Other","Provides Services, Other Charitable Activities","Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Playing music together as rehearsals and concerts on weekly basis during school term time. Concerts are indoor or outdoor.  Audiences are all types.","TO DEVELOP, IMPROVE AND MAINTAIN EDUCATION OF THOSE PERSONS WHO LIVE OR WORK WITHIN A TWENTY MILE RADIUS OF THE PRUDHOE WAR MEMORIAL (HEREINAFTER CALLED THE AREA OF BENEFIT) IN, AND THE APPRECIATION OF, THE ART AND SCIENCE OF MUSIC IN ALL ASPECTS AND IN PARTICULAR BY THE PRESENTATION OF PUBLIC CONCERTS AND TRAINING FOR PERSONS WISHING TO STUDY AND PLAY MUSIC AS PART OF A BAND"
"1084434","0","PAKISTAN MUSLIM ASSOCIATION NEWCASTLE CENTRAL MOSQUE AND ISLAMIC CENTRE (BILAL JAMIA MASJID)","Malvern Street, NEWCASTLE UPON TYNE","NE4 6SU","Newcastle upon Tyne Central","01912260562","info@newcastlecentralmosque.org.uk","www.newcastlecentralmosque.org.uk","31/07/2023","229249","250456","Registered","Other","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","To promote religious, educational & social activities and to have social and welfare relations with other groups. To run the Newcastle central mosque and Islamic centre. To run the children's language school. To help and provide birth, marriages and burial facilities. To assist all in need and help.","TO PROMOTE THE BENEFIT OF THE COMMUNITY IN NEWCASTLE UPON TYNE AND IN PARTICULAR BUT WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING, THE PAKISTANI MUSLIM COMMUNITY, BY ASSOCIATING TOGETHER THE PAKISTANI MUSLIM PEOPLE AND THE LOCAL AUTHORITIES AND OTHER ORGANISATIONS IN A COMMON EFFORT TO RELIEVE POVERTY AND SICKNESS, TO ADVANCE THE MUSLIM RELIGION AND TO PROVIDE FACILITIES FOR RECREATION AND OTHER LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THE  SAID COMMUNITY."
"1086471","0","COUNTY DURHAM ARTS IN EDUCATION AGENCY","STANLEY EDUCATION CENTRE, STANLEY","DH9 0HQ","North Durham","01207284515","enquiries@intheforge.com","www.intheforge.com","31/03/2023","178926","229074","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science","Children/young People","County Durham Arts in Education was established in 2001. It trades under the name of The Forge and provides an arts in education service to young people principally in County Durham and the wider region.","TO FOSTER AND PROMOTE THE MAINTENANCE, IMPROVEMENT AND DEVELOPMENT OF THE KNOWLEDGE, UNDERSTANDING AND PRACTICE OF THE ARTS IN EDUCATION"
"1087300","0","THE NORTH EAST OF ENGLAND BENGALI PUJA ASSOCIATION","13 BREAMISH DRIVE, WASHINGTON","NE38 9HS","Washington and Sunderland West","01914194077","neebpa@outlook.com","www.neebpa.org.uk","07/12/2022","7797","5694","Registered","Other","Other Charitable Activities","Religious Activities, Arts/culture/heritage/science, Human Rights/religious Or Racial Harmony/equality Or Diversity","People Of A Particular Ethnic Or Racial Origin, Other Defined Groups","Provides opportunities to commemorate Hindu religious and cultural activities for the Bengali Hindu community in North East England and other interested people.","1) THE ADVANCEMENT OF HINDU (BENGALI) RELIGION, CULTURE AND TRADITION.2) THE ADVANCEMENT OF EDUCATION BY THE PROVISION OF BENGALI MOTHER TONGUE LANGUAGE AND TRADITIONAL BENGALI MUSIC CLASSES3) TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE"
