recipient,company_number,total_grants,funding
NSPCC,,3,2374.2
NUNABIO LIMITED,8093593,2,186828.96000000002
National Axial Spondyloarthritis Society,,1,9172
National Back Exchange,,1,7500
National Energy Action,1853927,1,53287.2
National Energy Action,,1,50000
National Enery Action,,1,40000
National Trust,,1,2100000
Natural History Society of Northumbria,,3,21900
New Writing North,3166037,14,1284568.0
New Writing North,,1,10000
New Writing North Ltd,,1,30000
Newbiggin Hall Junior Football Club,,1,500
Newburn & District Unit 247 of the Sea Cadet Corps,,1,9860
Newburn Sea Cadets,,2,1750
Newburn and District Sea Cadet Corps - Unit No 247,,1,8600
Newcastle & Gateshead Arts Studio Ltd,,1,2000
Newcastle & Gatestead CCG,,1,116606.1
Newcastle Action for Parent and Toddler Groups Initiative,,4,19011
Newcastle Benfield Juniors Football Club,,1,500
Newcastle CC,,3,425000
Newcastle Carers,7869359,5,82949
Newcastle Carers,,4,70135
Newcastle Castle,,1,1243.28
Newcastle Cathedral,,1,54464.54
Newcastle Cathedral Trust,,6,83700
Newcastle Chamber Music Society,3433055,1,1000
Newcastle Chemfica Amateurs F.C,,1,1180
Newcastle Chinese Badminton Club,,1,7147
Newcastle City Council,4008560,5,120793678.34
Newcastle City Council,4012045,1,431967
Newcastle City Council,,34,38424195.32
Newcastle City Cricket Club,,1,5420
Newcastle City Juniors FC,6729487,1,1000
Newcastle Community Asset Trust,8454215,1,18915
Newcastle Community Asset Trust,,4,229684.82
Newcastle Community Culture Initiative Group Ltd,,1,9336
Newcastle Community Group,,1,9350
Newcastle Creates Limited,,1,14800
Newcastle Cricket Club,,1,9644
Newcastle Cricket Club CIC,9491842,1,0
Newcastle Eagles Basketball,3041174,4,342620
Newcastle East End FC,,2,18265
Newcastle East End Football Club,,2,11920
Newcastle East End Football Club Limited,13370737,1,9260
Newcastle Fencing And Sports Trust,8696113,2,19407
Newcastle Fencing Club,8696113,2,14353
Newcastle Fencing and Sports Trust,8696113,1,7265
Newcastle Flooring Company Ltd,2303207,1,1000
Newcastle Frontrunners,,1,700
Newcastle Gang Show,,2,3250
Newcastle Gateshead Initiative,2281242,1,52500
Newcastle International Airport Ltd,2077766,1,2639183
Newcastle Magpies RLFC,,1,9960
Newcastle Nighthawks Baseball Club,,1,709
Newcastle Roller Derby,,1,6200
Newcastle Rugby Foundation,5271148,1,98500
Newcastle Swim Team,,1,0
Newcastle Taekwondo CIC,12757447,1,900
Newcastle Theatre Royal Trust,1217427,3,3030000
Newcastle United Foundation,6412345,13,526899.4
Newcastle United Foundation,,5,1108499
Newcastle United Golf Club,,1,10000
Newcastle University,,495,120489848.71
Newcastle University First Responders,,1,1844.8899999999999
Newcastle University Students' Union,6978707,2,1350
Newcastle University Students' Union,,1,12000
Newcastle University of the Third Age,,1,1138
Newcastle Upon Tyne,,2,816748.43
Newcastle Upon Tyne City Council,,1,80000
Newcastle Upon Tyne Hospitals NHS Charity,,12,156420
Newcastle Upon Tyne World Headquarters,4050721,2,107730
Newcastle Upon Tyne Y.M.C.A.,3582739,1,43700
Newcastle Vikings Handball Club,,1,300
Newcastle Vision Support,5865697,13,149770
Newcastle Vision Support,,3,29142
Newcastle Vision Support (formerly NSBP),5865697,1,5000
Newcastle Volleyball Club,,1,9968
Newcastle West End Community Sports Association,,1,10000
Newcastle West End FC,,2,3950
Newcastle West End Foodbank,,10,701378.0299999999
Newcastle West End Foodbank,CE000533,1,3500
Newcastle West End Sport Community Association,,1,20000
Newcastle West End food bank (Bede Foodbank),,1,10000
Newcastle Women's Aid,7413723,1,333285
Newcastle Wood Recycling,8509734,1,10000
Newcastle Wood Recycling Community Interest Company,8509734,1,10000
Newcastle u Tyn,,2,6416296
Newcastle under Lyme Borough Council,,1,509978.3
Newcastle upon Tyne City Council,,10,47758184.63
Newcastle upon Tyne Hospitals NHSFT,,2,152011.72
Newcastle upon Tyne Metropolitan District Council,,6,4903006
Newcastle upon Tyne Y.M.C.A.,3582739,2,19827
Newcastle upon Tyne Y.M.C.A.,,2,143353
Newcastle upon Tyne YMCA,3582739,20,124983
"Newcastle upon Tyne, The Council of the City of",,5,1287110
Newcastle-upon-Tyne City Council,,5,3999731.17
Newcastle-upon-Tyne Y.M.C.A.,3582739,1,32500
Newcastle-upon-Tyne Y.M.C.A.,,2,11000
Newcastle: St Gabriel,,1,4000
NewcastleGateshead Convention Bureau,10648826,1,25960
NewcastleGateshead Initiative,2281242,7,1228810
NewcastleGateshead Initiative,,1,3994.83
Newport City Council,,4,2657651
Ngai pe uk,,1,5800
Niamhs Team,,1,250
Nightline,,1,2381.74
North Benwell Youth Project,,1,2744.6
North Benwell Youth Project,CE006663,6,24208
North Benwell Youth Project CIO,,7,179380
North East Academy Trust,10561094,1,1500
North East Academy of American Football,,7,5350
North East Action For Children Parents and Inclusion (NAPI) CIO,,1,4000
North East Ambulance Service NHS Foundation Trust,,1,554817.88
North East Circus Development Trust,6949073,2,29456
North East Circus Development Trust,,1,500
North East Combined Authority,,4,57383636.43
North East Law Centre,1653936,11,543703
North East Law Centre,,15,1547195.62
North East Rwandan Association (UK),,1,1710
North East Social Investment Community Interest Company,8904396,1,173290
North East Solidarity and Teaching (N.E.S.T),,1,2833.49
North East Theatre Trust,1697756,5,1855777
North East Theatre Trust,,1,50000
North East Theatre Trust (Live Theatre),1697756,10,41402
North East Warriors Wheelchair Basketball,,1,10000
North East Wilds CIC,11559289,1,1100
North Fawdon Primary School,,2,491718
North of England Refugee Service,3643622,10,259500
North of England Refugee Service,,5,142000
Northbourne Street Youth Initiative,7398880,14,87593
Northbourne Street Youth Initiative,,2,46000
Northbourne Street youth initiative,7398880,1,10000
Northbourne Youth Initiative,1139235,1,37408
Northbourne Youth Initiative,7398880,1,3050
Northen Stage,,1,5000
Northern Allstars Goalball Club,,1,15000
Northern Counties Volleyball Association,,1,10000
Northern Cultural Projects (NCP) Community Interest Company,,1,3600
Northern Edge Sports Limited,13966614,2,9682
Northern Football Club,IP29053R,2,20000
Northern Learning Trust,6316736,1,6000
Northern Learning Trust,,3,61991
Northern Learning Trust – Newbiggin Learning Hive,,1,1689.92
Northern Lights Metropolitan Community Church,,1,9997
Northern Print Studio Limited,2899117,1,9700
Northern Print Studio Ltd,2899117,7,205145
Northern Print Studio Ltd,,2,558610
Northern Proud Voices,,2,13825
Northern Roots,3539586,20,112450
Northern Roots,,1,75000
Northern Shape,1992359,3,92500
Northern Shape (trading as Equal Arts),1992359,6,39800
Northern Shape T/A Equal Arts,1992359,2,71500
Northern Stage,2187213,2,6048
Northern Stage,,2,36000
Northern Stage (Theatrical Productions) Limited,2187213,16,147015
Northern Stage (Theatrical Productions) Ltd,2187213,2,588559
Northern Stage Ltd,,2,69250.0
Northern Storm Korfball Club,,1,1265
Northumberland Football Leagues,8038076,1,6650
Northumberland Football Leagues Limited,8038076,2,12350
Northumberland Hussars Association,,3,300
Northumberland Rivers Trust,7713172,7,177466.01
Northumberland Supporting Families Project,,1,1321.09
Northumberland Wildlife Trust,717813,22,58085
Northumberland Wildlife Trust,,3,450708.0
Northumberland Wildlife Trust Limited,717813,1,158600
"Northumberland, Tyne & Wear NHS Foundation Trust",,2,17500
Northumbria Blood Bikes,,1,9900
Northumbria Police,,4,4100
Northumbria University,10001282,100,9019694.11
Northumbria University,,33,7377444.33
Northumbria University,EDU-133854,1,80000
Northumbria University Newcastle,,3,832940
Northwood Tyneside Ltd,4997426,1,1000
Nourish Food School,13600795,1,15000
Nourish Food School CIC,13600795,2,34760
Nunsmoor Centre Trust,7928591,13,66137
OPERATION VETERAN CIC,10183313,3,34379
OPTIMALPATH CONSULTING,9573197,1,7844.98
OPTIMALPATH CONSULTING LIMITED,10443112,1,4340.84
ORMOTEC,12271181,1,1500
ORMOTEC LIMMITED,13123786,1,6511.26
OUSEBURN TRUST,3147853,2,39745
Off The Grid Adventures CIC,12441039,4,36650
On Our Doorstep Community Interest Company,13854528,2,19700
Open Clasp Theatre Co.,5137687,9,117500
Open Clasp Theatre Company,5137687,6,100700
Operation Veteran CIC,,1,3697.2
Orange Box North East C.I.C.,10160921,1,8999
Our Lady & St Anne's Catholic Primary School,,1,1200
Ouseburn Community Centre,,1,8619
Ouseburn Farm,,1,5000
Ouseburn Farm Charity Limited,7673069,7,165283
Ouseburn Trust,3147853,5,47900
PATCHWORK PROJECT,8510835,1,100000
PATTINSON SCIENTIFIC SERVICES,4555995,1,1500
PATTINSON SCIENTIFIC SERVICES LIMMITED,5021380,1,6265.68
PENDOWER GOOD NEIGHBOUR HOUSE PROJECT,,1,20136
PLAYinNEWCASTLE Community Interest Company,8540636,1,9820
PLYMOUTH CITYBUS LIMITED,2004966,2,13248.8
PRIMAL FITNESS (NE),8957162,1,11213.67
PROJECTS4CHANGE,,1,9923
PROSPER LEARNING TRUST,11018923,2,193654.79
PROSPER LEARNING TRUST,,1,1500
PXD LIMITED,7483251,1,74841
Palace of Arts,8467192,1,396670
"Parochial Church Council of St Michael's Church, Byker",,1,10000
Patchwork Project,1157186,1,35200
Patchwork Project,8510835,23,180637
Patchwork Project,,1,60000
Pave the Way North East Limited,11868740,1,9981
Pendower Good Neighbour House Project,,20,79339
Pendower Good Neighbour Project,,2,12802.880000000001
Pink Lane Jazz Co-Op Limited,IP031981,1,24000
Pink Lane Jazz Co-op Limited,31981R,1,10000
Pink Lane Jazz Coop Ltd,0031981R,3,130000
Planet Action Street Arts,1198746,1,500
Planet Careers CIC,14259879,1,9952
Play in Newcastle,,1,5674
Ponteland Repertory Society,CE024504,1,900
Pool of Sound CIC,12336768,1,7790
Pop-Up Gym,,1,3200
Pottery Bank Community Allotment,,1,2278.71
Pottery Bank Community Centre,8172955,1,105000
Pottery Bank Community Centre Ltd,8172955,12,389555
Pottery Bank Community Centre Ltd,,2,3947.2200000000003
Poverty Solution Foundation,,4,45740
Prism Care (North East) CIC,12880288,1,9792
Procrastiknitting,,1,1021.64
Projects4Change,,5,110000
Projects4Change,CE015908,11,55754
PulmoLOGIC Biomedical,,1,209759.9
Quadrant Leisure Community Interest Company,8787573,1,8910
R.H.W.E Ltd (Reviving The Heart Of The West End),3359861,1,25000
R.H.W.E. Ltd,3359861,3,7000
RADIAL PATH,10757683,1,13107.5
RADIAL PATH LIMMITED,11574521,1,2170.42
RAPE CRISIS TYNESIDE AND NORTHUMBERLAND,7285969,1,15620.5
RAPID FLUIDICS LIMITED,12752937,1,64506.39
RCD HEXHAM & NEWCASTLE,,1,16004.3
RCD HEXHAM & NEWCASTLE - ST JOSEPHS,7732977,1,269695.04
REIGHT TRAVEL GROUP,12171965,1,2510.75
RHWE,3359861,1,717286.49
RHWE LIMMITED,,1,175197.47
RHWE LTD#NE48AW#KICKSTART,5046715,1,54108.01
RIVERSIDE COMMUNITY HEALTH PROJECT,2869470,2,336928.17000000004
RIVERSIDE COMMUNITY HEALTH PROJECT (G),,1,146914.73
ROMA RIGHT PATH PROJECT CIC,13267342,2,16800
ROYSTON LIMITED,1384241,1,96563
RSPCA,,1,13204
RSPCA NEWCASTLE AND NORTH NORTHUMBERLAND BRANCH,,2,10974.17
Radio Tyneside,,1,500
Rainbow Home,,1,7373
Rainbow Home (North East England),,8,39208.74
Rainbow Home (North East),,2,52250
Rainbow Home North East England,,1,6500
Rape Crisis Tyneside & Northumberland,,1,45000
Rape Crisis Tyneside and Northumberland,7285969,19,634357
Rape Crisis Tyneside and Northumberland,,5,64750
Ravenside Pre School,,1,10000
Ravenswood Primary School,,1,285
Re-engage Ltd,7869142,1,8997
Read Easy Newcastle & North Tyneside,,1,1500
Read for Good,,1,5750
Recovery College Collective,10573524,1,5100
Recruitment Junction,,2,220000
Recyke y' Bike,5839547,3,5010
Recyke y' Bike  Ltd,5839547,3,16950
Recyke y'bike,,3,16218.03
Recyke y'bike Ltd,5839547,2,21403
ReportOUT,,1,8731
Restoring Ratty,,2,4729.139999999999
Reviving the Heart of the West End Ltd,3359861,1,5000
Riverside Community Health Project,1028632,1,30000
Riverside Community Health Project,2869470,4,40500
Riverside Community Health Project,6354930,1,10000
Riverside Community Health Project,,4,65703
Road to Recovery Trust,7847240,1,9700
Road to Recovery Trust,,2,77000
Robert Stewart Memorial United Reformed Church,,4,17648
Rockets Community Foundation,,1,500
Roma ACCESS Newcastle upon Tyne Association,11699887,1,5450
Roma ACCESS Newcastle upon Tyne Association CIC,11699887,1,9660
Roma Right Path Project CIC,13267342,2,20150
Rookie Sports Ltd,5068068,3,29985
Roots to Solidarity,,3,32487
Rowen Group Limited,12578833,1,1000
Royal Grammar School Educational Trust,,1,30000
Rudis Hairdressing Ltd,8618368,1,1000
SACRED HEART CATHOLIC HIGH SCHOOL,,4,105584.36
SACRED HEART NEWCASTLE SCITT,,1,733137
SAFE FAMILIES FOR CHILDREN,8134971,1,94983
SEARCH - Services For Older People,CE002620,15,161133
SEARCH - Services For Older People CIO,CE002620,9,84002
SEARCH CIO (services for older people),,1,9952
SEARCH: SERVICES FOR OLDER PEOPLE CIO,,1,23375
SEARCH: Services For Older People CIO,,2,159463
SELF CARE EDUCATION FOR LONG-TERM CONDITIONS UK C.I.C.,12043245,1,7750
SEVEN STORIES THE NATIONAL CENTRE FOR CHILDRENS BOOKS,3209411,1,14593.62
SEVEN STORIES THE NATIONAL CENTRE FOR CHILDRENS BOOKS,,1,13387.5
SF Software Limited,5580540,1,1000
SHARP CATERING COMPANY LIMMITED,10412891,1,2209.43
SHARP CATERING COMPANY LTD,12358094,1,4432.78
SIEMENS ENERGY INDUSTRIAL TURBOMACHINERY LIMITED,4729734,2,33451.270000000004
SIEMENS ENERGY LIMITED,631825,2,193413.64
SILVERLINE MEMORIES CIO,,1,5322
SKILLS FOR PEOPLE,3487635,1,32990
SKIMSTONE ARTS,6261728,1,26919
SMILE FUNDRAISING,8573627,1,3000
SMILE FUNDRAISING LIMMITED,11839593,1,1432.78
SOMETHING GOOD NEWCASTLE,,1,5798.34
SPARK AFRICA CIC,11510624,2,36547.58
SQDL t/a Boiler Shop,5076879,2,841561
SSAFA (Tyne & Wear),,3,2500
ST ALBAN'S RC PRIMARY SCHOOL,,1,1200
ST CUTHBERT'S HIGH SCHOOL,,1,23895.01
ST MARY'S CATHOLIC SCHOOL,,2,94446
ST OSWALDÏ¿½S HOSPICE,1166239,1,44019.6
ST OSWALDÏ¿½S HOSPICE LIMITED,9104776,1,8958.24
ST. MARTIN'S CENTRE PARTNERSHIP,5235539,2,44230
ST. OSWALD'S HOSPICE LIMITED,1166239,2,44475
STATEX PRESS NORTHERN,2887894,1,5373.94
STATEX PRESS NORTHERN LIMMITED,10939789,1,2986.08
STOCKSFIELD AVENUE PRIMARY SCHOOL,,1,14747
STREETS SYSTEMS LTD,11542795,1,62976
STUDIO WEST,,2,638512.05
Sabai Hairdressing,7185371,1,1000
Sacred Heart Partnership of Schools,7841435,1,13334
Sacred Heart Primary School,,1,2077
Safe Families,8134971,1,100000
Safe Families,,1,29429
Safe Families For Children,,3,147400
Safe Families for Children,8134971,6,50000
Safe Families for Children,,2,55500
Safe Haven- A Ray of Hope,12144461,1,9450
Samaritans of Tyneside,757372,1,5000
Samaritans of Tyneside,,4,9120
Samosa Sisters,,1,9965
Save the Children (Wallsend Children's Community),,1,100000
Schools North East Limited,6450637,2,107000
SciFair,,1,1524.1799999999998
Scotswood Garden,7523792,1,24988
Scotswood Garden,,2,80500
Scotswood Natural Community Garden,7523792,36,620006.5
Scotswood Natural Community Garden,,4,74398
Scotswood Natural Community Garden Limited,7523792,4,489629
Scotswood Natural Community Garden Limited,,4,147000
Search - Services for Older People,,1,44977
Search CIO,CE002620,1,35000
Search CIO (Services For Older People),,1,8220
Search CIO (services for older people),,1,5500
Search Newcastle,,1,75000
Search Newcastle Ltd,,2,21597.6
Search: Services for Older People CIO,,3,78938
Seven Stories - The National Centre for Children's Books,3209411,4,1383238.6800000002
Seven Stories - The National Centre for Children's Books,,3,118742
"Seven Stories, The National Centre For Children'S Books",3209411,1,48300
"Seven Stories, The National Centre for Children's books",3209411,26,349728
Shoe Tree Arts,,1,8500
Shooting Stars Childcare,,1,1000
Sick Children's Trust,1618435,2,1000
Side by Side Tyne and Wear,,1,9950
Silverline Memories,,2,25010
Silverline Memories,CE004701,9,38808
Silverline Memories CIO,,10,209234
Silverline Memories CIO,CE004701,6,12997
Silverline Memories Jubilee Dementia Choir,,1,3213.32
Skills For People,3487635,6,26356
Skills for People,3487635,5,475461
Skills for People,,1,9865
Skimstone Arts,6261728,17,228344
Slatyford Friendship Club,,1,5000
Smart Multi Academy Trust,10257723,1,2230
Smart Works Charity,3870671,2,10500
Smart Works Newcastle,1176547,1,493
Smart Works Newcastle,11115960,5,36575
Smart Works Newcastle,,1,5750
Smile For Life Children's Charity,,2,24810
Smile for Life,,1,4000
Smile for Life Children's Charity,6913129,11,90494
Smile for Life Children's Charity,,1,60000
Smile for Life Children's Charity - Café Beam,,1,1258.05
South Gosforth First School Parents Association,,1,500
South Shields Surf CIC,11943413,1,30000
South Shields Surf Cic,11943413,2,21572
Sporting Chance North East C.I.C,10408012,4,37090
Sporting Chance North East C.I.C.,10408012,4,74770
Sporting Chance North East CIC,10408012,1,6800
Sports For Youth Community Interest Company,6629736,1,9991
St Anthony'S Youth Education And Support,6917895,1,9701
St Anthony's Youth Education & Support,6917895,3,13800
St Anthony's Youth Education & Support,,9,119667
St Bede's RC Primary School (Newcastle upon Tyne),,1,1250
St Bedes R C Primary School,,1,500
St Cuthbert's High School,,1,40000
St Cuthberts Care,1645917,2,2550
St James & St Basil's Church Fenham,,1,14000
St James Church Benwell,,2,20000
St James' Heritage and Environment Group,,6,21831
St John Ambulance Northumbria,,3,1600
St John's Primary School,,2,5630
St Johns Primary School,,3,15109
St Lawrence's Catholic Primary School,,1,7693
St Martin's Centre Partnership,5235539,20,508690
St Martin's Centre Partnership,,3,125000
St Mary's Catholic School,,2,54590
St Michael's Church Byker,,1,7700
St Michael's RC Primary School,,1,2480
"St Nicholas Cathedral, Newcastle",,1,95000
St Oswald's Hospice,,5,1196350.3
St Oswald's Hospice Limited (Newcastle u,,1,10000
St Oswald's Hospice Ltd,1166239,1,21476
St Oswald's Hospice Ltd,,2,30000
St Oswalds Hospice,1166239,27,101850
St Oswalds Hospice Limited,1166239,1,3000
St Peters Community Box Association,,1,9800
St Teresa's Catholic Primary School (Newcastle upon Tyne),,1,1250
"St Teresa's Catholic Primary School, Heaton",,1,1200
St Vincent De Paul,,1,4646
St Vincent De Paul Society,3174679,4,29500
St Vincent de Paul Society (England and Wales),3174679,6,33722
St. Anthony of Padua Community Association,2025848,5,84541
St. Anthony's Youth Education and Support,6917895,1,3800
St. Gabriel's Allotment Association,,1,9352
St. Martin's Centre Partnership,5235539,2,175800
St. Peter's Neighbourhood Association,,3,9500
St. Teresa's RC Primary School,,1,9900
Star And Shadow Cinema Ltd.,RS007127,1,9869
Star and Shadow Cinema,RS007127,1,13677
Star and Shadow Cinema Limited,RS007127,1,10000
Stepney Bank Stables,3910561,12,61944
Stepney Bank Stables,,1,13000
Stepney Bank Stables Ltd,3910561,5,47336
Streetwise,,2,102495
Streetwise Young People's Project,3244499,7,66243.29000000001
Streetwise Young People's Project,32444990,4,28000
Streetwise Young People's Project,,3,94030
Studio West,,4,971006
Success4All CIO,,9,123181
Success4All CIO,CE006646,7,41471
Success4All Cio,,1,68957
Success4All c.i.o.,,1,51685
Suit-ability CIC,12039898,1,10000
Summerhill Trust Ltd,,1,500
Sunrise,,3,25688
Switch Electrical & Mechanical Services Ltd.,10878052,1,1000
TA!LAB DESIGN,11945236,1,3521.5
TA!LAB DESIGN LIMMITED,2612480,1,4266.38
TANDOORI NAAN LIMMITED TA TANDOORI NAAN HUT LIMMITED,2906084,1,6265.68
TCU GROUP,6201707,1,10061.37
TCU GROUP LIMMITED,,1,7473.68
TEWAHDO,,1,9680
THAMES TRAVEL (WALLINGFORD) LIMITED,4184436,1,0
THE ACADEMIC HEALTH SCIENCE NETWORK FOR THE NORTH EAST AND NORTH CUMBRIA LIMITED,8727658,1,21900
THE CITY OF OXFORD MOTOR SERVICES LIMITED,91106,1,0
THE COMMON ROOM OF THE GREAT NORTH LIMITED,10609517,3,5981909
THE FEDERATION OF COMMUNICATION SERVICES LIMITED,2749617,1,5400
THE GO-AHEAD GROUP PLC,2100855,1,609540.17
THE GOSFORTH FEDERATED ACADEMIES LIMITED,7431423,1,202500
THE LIGHT DRAGOONS REGIMENTAL CHARITY,,1,35000
THE MANYDOWN COMPANY LIMITED,716250,1,1145
THE NEWBRIDGE PROJECT,10582100,2,7765.68
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,,2,572451.85
THE NORTH EAST CIRCUS DEVELOPMENT TRUST,6949073,1,9878
THE NORTH EAST SOCIAL ENTERPRISE PARTNERSHIP (NORTH EAST LEP) C/OO NORTH OF TYNE COMBINED AUTHORITY,4552513,1,344659.18
THE NORTH OF ENGLAND REFUGEE SERVICE LIMITED,3643622,1,32500
THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,,4,4298220.5
THE REINVENTORY COMPANY LTD,11448458,1,25568
THE STATION HOTEL (NEWCASTLE),1958222,1,137032.99
THE STATION HOTEL (NEWCASTLE) LIMITED,1958222,1,4266.38
THE STYLE SUITE,,1,1000
THE SWORDMAKER,12185898,1,1500
THE SWORDMAKER LIMMITED,11192916,1,2088.56
THE THREE RIVERS LEARNING TRUST,7838203,1,14040
THE UNIVERSITY OF NEWCASTLE UPON,,1,136957.03
THE WOR HOOSE COMMUNITY PROJECT,,1,7689
THOMAS BEWICK SCHOOL,,2,496215
THOMAS WALLING PRIMARY ACADEMY,,1,1200
THROCKLEY PRIMARY SCHOOL,,1,1555
TINY DRAGON PRODUCTIONS,13816200,1,16742
TKO Boxing and Learning,,1,2280
TKS Pre-Loved Furniture CIC,13854774,1,9950
TNJN PROPERTIES LIMITED,7174763,4,23873.22
TRINITY CHURCH GOSFORTH,,1,30000
TRL9 LIMITED,9877710,3,213696.81
TUMBLING DICE LIMITED,4969187,1,56957
TYNE HOUSING ASSOCIATION LIMITED,,11,117947
TYNE HOUSING ASSOCIATION LIMITED,IP21011R,1,431231
TYNEVIEW PRIMARY SCHOOL,,1,44113
Tait Walker Financial Services Limited,5674020,1,3750
Tatwood Puppets,11547347,1,19995
Teesside Vineyard Church,,1,10000
Tewahdo,,1,8850
The Active Life Foundation,,1,4840
The Albert Kennedy Trust,4494989,6,12916
The Allotment Project CIC,12896690,1,5000
The Angelou Centre,2855091,4,405490
The Angelou Centre,,8,283675
The Beauty Room,,1,2000
The Bede Foodbank,,2,3500
The Bede Foodbank T/A Newcastle West End Foodbank,CE000533,11,27498
The Bede foodbank,,1,10000
The Boulevard Academy,,1,28630
The Caddy Shacks,,2,12490
The Catholic Fellowship (Newcastle) The St. Bernadette Club,7086775,1,10000
The Children's Foundation,2528291,2,70000
The Children's Foundation,,4,17843
The Children's Foundation Ltd,2528291,21,92983
The Children's Heart Unit Fund,,1,5500
The Children's Society,,3,429857.32
The Childrens Foundation Limited,2528291,1,22000
The Childrens' Foundation Limited,2528291,1,8486
The Chronicle Sunshine Fund,7035903,17,456357
The Chronicle Sunshine Fund,,13,163347
The Circle of Women,8993335,2,4000
The Common Room of the Great North,10609517,7,88333
The Common Room of the Great North,,3,94343.79000000001
The Crack Ltd,3949330,1,75000
The Elders Council of Newcastle Limited,6188907,1,9969
The Empty Space,6072974,1,4580
The Empty Space,,1,7000
The Friends of Jesmond Library,8430250,1,7422
The Friends of Red Row First School,,1,4760.97
The Friends of Tynemouth Outdoor Pool,,1,2096.38
The Gateway Church - Newcastle,CE005510,1,9970
The Globe Gallery,,1,5000
The Globe Gallery ltd,3078706,1,69964
The Grace Project (Northumberland Rape Crisis),,1,31241
The Grange,,1,7250
The Josephine and Jack Project,,2,13710
The Josephine and Jack Project CIO,,1,154000
The Junction 42 Foundation,8139367,6,303688
The Junction 42 Foundation,,1,20000
The KC Foundation,9673188,3,21573
The Key,,1,9750
The Laidlaw Schools Trust,,2,6000
The Light Dragoons Regimental Charity,,1,3500
"The Master Pilots and Seamen of the Corporation of the Trinity House, Newcastle upon Tyne",,1,780
The Mental Shift C.I.C.,14468287,1,9910
The Mercy Project,,1,770
The Mercy Project,CE014138,2,6622
The Millin Charity,3884975,9,99382
The National Lottery Community Fund,,4,24964154
The National Trust for Places of Historic Interest or Natural Beauty,,1,347986
The Natural History Society Of Northumbria,,4,380104
The NewBridge Project,10582100,9,195088
The NewBridge Project,,1,71288
The Newcastle Central and East Circuit of The Methodist Church,,1,10000
The Newcastle Central and East Circuit of the Methodist Church,,1,10000
The Newcastle upon Tyne Hospitals NHS Foundation Trust,,2,125585
The North East Circus Development Trust,6949073,9,92996
The North Of England Institute Of Mining And Mechanical Engineers,,1,170500
The North of England Refugee Service,,1,60000
The Owl Tree Children's Café,,1,1243.28
The Owl Tree Childrens Cafe CIC,11601372,1,9800
The Palette Newcastle Community Interest Company,12357546,1,5400
"The Parish Church of St George, Jesmond",,1,45000
"The Parochial Church Council of The Ecclesiastical Parish Of St. Mary The Virgin, Ponteland",,2,2500
"The Parochial Church Council of the Ecclesiastical Parish of St George, Jesmond.",,1,163600
The Parochial Church Council of the Ecclesiastical Parish of St. George Jesmond,,1,7299
The Parochial Church Council of the Parish Church of St Andrew,,1,13204
The People's Kitchen,,1,20000
The People's People CIC,14386114,1,9840
The People's Theatre Arts Group,242886,1,500
The Peoples Kitchen Ltd,2808912,13,65133
The Prince's Trust,,3,81000
The Recruitment Junction,,13,143354
The Recruitment Junction,CE024019,2,13000
The Road To Recovery Trust,7847240,1,9350
The Road to Recovery Trust,7847240,7,198991
The Road to Recovery Trust,,1,67000
The Samaritans of (Tyneside),,1,3000
The Shirley Community Chaplaincy NE,,1,5000
The Sick Children's Trust,1618435,3,5790
The Star and Shadow Cinema,RS007127,3,42667
The Three Rivers Learning Trust Limited,,2,16334
The Tiny Lives Trust,8169471,1,8833
The Town Moor Charity,,1,20000.0
The Twisting Ducks Theatre Company CIO,,6,79622
The Twisting Ducks Theatre Company CIO,CE009135,11,169107
The University of Newcastle upon Tyne,,1,9983
The Wise Group,SC091095,1,420986
The Wor Hoose Community Project,,1,19335
The Young Women's Film Academy CIO,,9,78806
The Young Women's Film Academy CIO,CE014916,4,32957
The Young Womens Film Academy,,3,17598
Think Tank,6490436,2,116500
Throckley Bowls Club,,2,2295
Throckley Community Hall,,1,1543.88
Throckley Community Hall Limited,,1,500
Throckley Community Hall Ltd,1862258,1,6000
Throckley Community Hall Ltd.,1862258,7,36945
Tigray Community Organisation,,1,9360
TimbaDash Theatre Cic,14063885,1,9970
Time Exchange Limited,5126423,1,9946
Tiny Lives Trust,8169471,23,489299
Tiny Lives Trust,,2,5853.450000000001
Transform Trade,,2,45962
Triangular CIO,CE014406,1,12800
Triangular Cio,,1,58588
Trillians Rock Bar ltd,9322946,1,80462
Trinity Youth Association,3557279,1,9750
Trylight Productions LTD,11243124,1,33500
Turtle Childcare ltd,12790549,1,750
Twisting Ducks Theatre Company,CE009135,1,9100
Twisting Ducks Theatre Company CIO,,1,30000
Tyne & Wear Archives & Museums Development Trust,7334262,7,469817.0
Tyne & Wear Archives & Museums Development Trust,,2,73000
Tyne Amateur Rowing Club,,2,9100
Tyne And Wear Building Preservation Trust Limited,1444058,3,629895
Tyne Theatre & Opera House,,1,0
Tyne Theatre And Opera House Preservation Trust,3874271,1,242215
Tyne Theatre and Opera House Limited,9330825,1,210000
Tyne Theatre and Opera House Preservation Trust,3874271,1,500
Tyne Theatre and Opera House Preservation Trust,,1,35000
Tyne Valley Canoe Club,,1,2698
Tyne Valley Health and Wellbeing Community Interest Company,13094236,1,19976
Tyne and Wear African Refugees Support Network,,1,9400
